construction_year,number,house_type,from,to
Before 1919,22928,apartment,1700,1918
1919 to 1945,7546,apartment,1919,1945
1946 to 1960,6723,apartment,1946,1960
1961 to 1970,7182,apartment,1961,1970
1971 to 1980,9255,apartment,1971,1980
1981 to 1990,14082,apartment,1981,1990
1991 to 2000,38007,apartment,1991,2000
2001 to 2010,97210,apartment,2001,2010
2011 to 2015,10176,apartment,2011,2015
2016 or later,15420,apartment,2016,2022
