serial,qa,qb,actualage,qc1,qc2,qe,qf,q1,q2,q3,q4,q5,q6,q7,q81,q82,q83,q84,q85,q86,q87,q88,q89,q9,q10,q11,q121,q122,q123,q124,q125,q126,q127,q128,q129,q13,q13n,q14,q14n,q15,q15n,q16,q16n,q17,q17n,q18,q18n,q19,q19n,q20,q20n,q21,q21n,q22,q23,q24,q2501,q2502,q2503,q2504,q2505,q2506,q2507,q2508,q2509,q2510,q26_1_3,q26_1_4,q26_2_1,q26_2_2,q27,q28,q29,q30_1,q30_2,q30_3,q30_4,q30_5,q30_6,q36,q37,q38,q39,q52,q53_5,qg,qh,qi,qj
1241,2,6,71,6,1,6,4,4,2,5,1,3,23,6,1,0,0,0,0,0,0,0,0,NA,2,2,0,0,1,0,0,0,0,0,0,12,3500,5,250,3,150,NA,NA,12,950,1,80,NA,NA,11,11,6,11,7,NA,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,9,4,3,4,3,2,4,1,3,4,2,1,2,3,12,3,2
1243,2,3,37,6,1,1,7,2,2,2,2,1,19,6,0,1,0,0,0,0,0,0,0,8,2,2,0,0,1,0,0,0,0,0,0,2,500,3,195,1,95,NA,NA,3,150,1,25,NA,NA,5,5,1,2,2,2,3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,3,9,3,3,3,3,3,3,2,4,4,4,4,1,4,7,2,2
1244,2,3,41,22,3,1,8,3,2,4,2,4,6,2,0,1,0,0,0,0,0,0,0,3,1,6,0,0,1,0,0,0,0,0,0,6,1500,5,285,2,106,NA,NA,NA,NA,NA,NA,NA,NA,8,8,5,10,1,NA,2,0,1,0,0,0,0,0,0,1,0,9,NA,6,NA,4,4,6,4,3,3,4,1,3,3,4,4,1,4,5,2,7,5,1
1245,1,4,52,3,3,1,5,4,2,4,2,3,9,6,1,0,0,0,0,0,0,0,0,NA,1,1,0,0,1,0,0,0,0,0,0,8,2000,4,200,3,195,3,2000,NA,NA,NA,NA,NA,NA,6,6,3,6,7,NA,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,3,7,3,4,4,4,3,2,4,3,3,5,1,3,2,5,1,1
1246,1,2,34,21,4,1,7,4,1,2,1,3,22,3,1,0,0,0,0,0,0,0,0,NA,1,2,0,0,1,0,0,0,0,0,0,2,500,13,NA,13,NA,NA,NA,4,220,1,50,NA,NA,6,6,3,5,3,5,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,3,1,5,4,4,4,2,3,4,2,3,2,2,5,1,8,5,1
1247,1,6,70,6,1,6,7,4,2,4,2,2,6,2,0,1,1,0,1,1,1,0,0,6,1,2,0,0,1,0,0,0,0,0,0,4,1200,2,130,1,20,NA,NA,1,75,1,20,NA,NA,8,8,3,6,1,NA,2,0,1,1,0,1,1,1,0,0,0,NA,NA,NA,NA,4,4,7,5,5,4,4,4,3,1,4,4,2,1,4,1,6,5,2
1248,1,5,58,13,3,3,2,4,2,3,2,3,23,2,0,1,1,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,11,2800,9,460,13,NA,3,2000,NA,NA,NA,NA,6,500,2,2,4,8,1,NA,1,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,10,4,4,3,4,3,4,2,2,3,4,3,3,1,3,3,2
1250,2,6,76,6,1,6,8,1,3,5,1,2,12,3,0,0,0,0,0,1,0,0,0,2,2,3,0,0,0,0,0,0,0,1,0,3,800,5,267,1,65,NA,NA,NA,NA,NA,NA,NA,NA,6,6,3,6,1,NA,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,3,9,4,2,4,3,1,3,2,1,2,2,2,NA,2,5,1,2
1251,1,2,33,15,2,1,7,3,2,3,1,5,1,3,0,0,0,0,1,1,1,0,0,8,1,3,0,0,0,0,0,0,0,1,0,4,1000,6,300,1,50,NA,NA,NA,NA,NA,NA,NA,NA,7,7,8,24,1,NA,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,5,4,4,4,4,2,4,2,3,4,1,2,1,2,7,5,1
1252,1,3,35,6,1,1,8,1,3,2,2,5,8,3,1,0,0,0,0,0,0,0,0,NA,1,2,0,0,0,0,0,0,0,1,0,3,800,4,200,1,80,NA,NA,5,250,1,30,NA,NA,8,8,2,4,5,5,3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,7,4,2,3,4,2,2,1,4,4,4,4,NA,4,6,1,2
