serial,qa,qb,actualage,qc1,qc2,qe,qf,q1,q2,q3,q4,q5,q6,q7,q81,q82,q83,q84,q85,q86,q87,q88,q89,q9,q10,q11,q121,q122,q123,q124,q125,q126,q127,q128,q129,q13,q13n,q14,q14n,q15,q15n,q16,q16n,q17,q17n,q18,q18n,q19,q19n,q20,q20n,q21,q21n,q22,q23,q24,q2501,q2502,q2503,q2504,q2505,q2506,q2507,q2508,q2509,q2510,q26_1_3,q26_1_4,q26_2_1,q26_2_2,q27,q28,q29,q30_1,q30_2,q30_3,q30_4,q30_5,q30_6,q36,q37,q38,q39,q52,q53_5,qg,qh,qi,qj
71,1,2,33,5,4,1,8,4,2,4,2,3,8,5,0,0,0,0,1,0,0,0,0,3,1,1,0,0,1,1,0,0,0,0,0,8,2000,5,250,3,180,2,1500,NA,NA,NA,NA,3,250,8,8,2,4,5,1,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,3,6,4,5,4,2,1,2,3,4,4,4,3,2,2,7,2,2
72,2,6,68,6,1,7,4,3,2,4,1,3,7,7,0,1,1,0,0,1,1,0,0,5,2,2,0,0,0,0,0,0,0,1,0,10,2500,13,NA,2,140,NA,NA,13,NA,13,NA,NA,NA,12,12,3,5,7,NA,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,4,5,5,4,5,1,4,1,1,3,3,1,3,3,8,5,2
74,1,2,31,6,1,1,7,2,2,3,2,1,11,3,1,0,0,0,0,0,0,0,0,NA,2,2,0,0,0,0,0,0,0,1,0,4,1200,4,200,2,120,NA,NA,5,250,1,60,NA,NA,7,7,1,2,6,5,2,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,4,4,5,4,3,4,4,4,2,2,3,4,3,2,3,4,7,5,1
75,1,4,47,6,1,2,7,1,2,3,2,4,3,3,0,1,0,1,0,0,0,0,0,3,1,2,0,0,1,0,0,0,0,0,0,8,2000,12,1000,10,500,NA,NA,4,200,3,150,NA,NA,13,-97,NA,NA,3,2,1,0,0,0,0,0,1,0,1,0,0,9,NA,6,NA,1,3,3,4,3,4,3,4,4,3,2,4,3,2,5,1,3,5,1
76,1,6,65,24,2,6,6,2,2,4,1,5,7,5,1,0,0,0,0,0,0,0,0,NA,2,2,0,0,0,0,0,0,0,1,0,3,900,6,300,1,90,NA,NA,6,300,1,90,NA,NA,6,6,2,3,1,NA,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,10,5,4,4,4,2,4,3,4,4,3,3,3,2,6,3,2
77,2,1,24,4,3,1,8,4,2,4,2,3,8,3,0,0,1,1,0,1,1,1,0,4,2,2,1,0,1,1,0,1,0,0,0,12,3000,9,450,2,130,1,60,8,400,1,70,4,300,5,5,4,7,2,2,1,0,1,1,0,0,0,1,1,0,0,5,6,2,2,4,4,3,3,4,4,4,4,3,1,4,4,4,2,5,4,3,5,1
79,2,2,34,3,3,7,5,4,2,3,2,3,23,6,0,1,1,0,0,1,1,0,0,8,2,1,0,0,0,1,0,0,0,0,0,2,700,5,250,13,NA,7,NA,NA,NA,NA,NA,10,NA,12,12,3,6,1,NA,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,3,5,6,5,4,1,4,2,1,4,3,2,3,1,7,5,1
81,2,5,64,4,3,7,4,4,1,4,1,3,23,6,0,1,1,0,0,1,0,0,0,4,2,1,0,0,0,1,0,0,0,0,0,4,1200,6,300,3,180,2,1000,NA,NA,NA,NA,1,30,6,6,1,2,1,NA,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,10,3,4,4,2,4,3,3,4,4,2,1,4,4,7,3,2
82,2,4,46,5,4,2,6,4,1,3,2,4,23,4,1,0,0,0,0,0,0,0,0,NA,2,4,0,0,0,0,0,0,0,1,0,6,1500,6,310,5,250,NA,NA,NA,NA,NA,NA,9,1500,9,9,5,9,1,NA,3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,4,10,3,5,3,3,2,2,5,3,4,2,1,3,1,4,5,1
83,2,6,70,6,1,6,3,1,1,2,1,6,3,2,1,0,0,0,0,0,0,0,0,NA,2,2,0,0,0,0,0,0,0,1,0,13,NA,13,NA,13,NA,NA,NA,13,NA,13,NA,NA,NA,5,5,9,NA,1,NA,3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,5,9,1,4,1,3,1,3,4,4,4,5,2,NA,4,2,1,2
84,2,5,64,10,2,6,8,3,2,4,2,3,23,5,0,0,0,0,0,1,0,0,0,2,2,2,0,0,1,0,0,0,0,0,0,4,1000,4,230,2,130,NA,NA,3,170,2,130,NA,NA,5,5,3,6,3,5,3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,4,3,5,5,5,2,1,1,2,4,4,3,1,4,2,3,1,2
87,2,6,68,24,2,6,6,4,2,4,1,2,23,6,1,0,0,0,0,0,0,0,0,NA,2,1,0,0,0,0,0,0,0,1,0,3,960,5,270,4,210,7,NA,NA,NA,NA,NA,NA,NA,7,7,6,12,1,NA,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,4,3,4,5,2,2,5,3,3,1,3,4,2,1,2,3,1,2
89,1,3,41,6,1,7,7,3,2,3,2,3,23,4,1,0,0,0,0,0,0,0,0,NA,2,2,0,0,0,0,0,0,0,1,0,1,100,6,300,3,150,NA,NA,8,400,2,100,NA,NA,8,8,1,2,3,2,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,3,4,1,5,1,5,1,1,1,2,4,5,1,5,4,5,5,1
90,2,2,33,13,3,2,7,3,2,3,2,2,11,4,0,1,0,0,0,1,1,0,0,4,2,2,0,0,0,1,0,0,0,0,0,6,1500,7,395,3,170,NA,NA,5,250,1,30,3,250,6,6,2,4,5,2,2,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,4,10,2,5,4,5,1,2,2,4,4,5,1,2,2,8,5,1
91,2,1,21,22,3,4,5,4,2,4,1,4,8,4,0,1,1,0,0,0,0,0,0,8,2,1,0,0,1,0,0,0,0,0,0,13,NA,13,NA,13,NA,7,NA,NA,NA,NA,NA,NA,NA,6,6,3,6,4,5,2,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,2,2,6,5,5,5,4,4,3,2,4,5,2,1,3,1,6,5,2
92,1,6,73,26,2,5,7,4,2,4,1,3,3,2,0,1,0,0,0,0,0,0,0,1,2,6,0,0,0,0,0,0,0,1,0,5,1250,9,450,1,40,NA,NA,NA,NA,NA,NA,NA,NA,7,7,4,8,6,5,3,0,0,0,0,0,0,0,0,1,0,6,NA,4,NA,5,4,7,4,3,4,3,2,1,2,4,4,4,2,5,2,3,3,2
93,2,6,65,14,2,4,5,4,1,3,1,1,23,3,0,0,0,0,0,1,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,8,2000,4,220,3,175,1,500,NA,NA,NA,NA,9,1500,7,7,2,4,6,5,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,9,5,5,4,4,1,2,5,4,4,3,2,3,2,2,4,2
94,2,4,47,22,3,2,6,4,1,3,1,2,23,4,1,0,0,0,0,0,0,0,0,NA,1,4,0,0,1,0,0,0,0,0,0,6,1700,6,300,5,250,NA,NA,NA,NA,NA,NA,9,1500,6,6,5,10,5,5,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,3,7,4,5,4,3,2,2,3,2,4,2,1,3,1,5,2,2
96,1,4,46,1,2,1,4,4,1,4,2,4,9,5,1,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,0,0,1,0,6,1500,8,440,6,300,2,1200,NA,NA,NA,NA,NA,NA,8,8,2,4,4,5,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,4,9,4,4,3,2,2,2,2,4,4,2,4,4,1,9,5,1
97,2,5,60,6,1,6,4,2,1,2,1,1,23,7,1,0,0,0,0,0,0,0,0,NA,2,2,0,0,0,0,0,0,0,1,0,13,NA,13,NA,13,NA,NA,NA,13,NA,13,NA,NA,NA,4,4,1,2,1,NA,3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,4,9,4,4,4,5,2,3,5,1,3,2,1,2,4,2,1,2
98,2,5,61,9,2,7,4,3,2,3,1,3,22,6,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,4,1000,9,450,7,350,2,1000,NA,NA,NA,NA,1,50,7,7,3,5,1,NA,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,4,4,2,3,3,1,2,3,3,4,2,1,1,2,7,5,2
99,1,5,60,6,1,7,5,3,2,4,2,3,23,6,1,0,0,0,0,0,0,0,0,NA,2,2,0,0,0,0,0,0,0,1,0,13,NA,13,NA,13,NA,NA,NA,13,NA,13,NA,NA,NA,14,NA,9,NA,7,NA,4,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,1,10,3,4,3,4,4,3,2,4,3,5,2,3,3,3,3,2
100,1,2,33,6,1,1,7,3,2,4,2,4,4,3,0,1,1,1,0,1,0,0,0,4,1,2,0,0,0,0,0,0,0,1,0,6,1600,11,550,3,180,NA,NA,5,260,3,150,NA,NA,8,8,3,6,1,NA,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,3,5,4,5,4,4,1,1,5,4,4,2,4,1,1,5,5,1
101,1,2,25,15,2,4,7,3,2,3,2,3,12,3,0,1,0,0,0,0,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,13,NA,13,NA,13,NA,NA,NA,3,172,13,NA,10,NA,14,NA,2,3,2,5,2,0,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,4,4,9,4,4,4,4,2,3,2,2,2,5,4,4,2,12,4,2
102,1,4,49,4,3,1,6,2,2,3,2,3,10,3,0,1,1,0,0,1,0,0,0,8,1,4,0,0,1,0,0,0,0,0,0,3,850,12,650,5,250,NA,NA,NA,NA,NA,NA,7,700,8,8,4,7,1,NA,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,4,9,5,4,5,4,1,2,6,4,5,3,1,2,1,7,5,1
103,1,2,32,16,4,1,8,4,2,4,2,3,23,6,0,1,0,0,0,0,0,0,0,8,2,1,0,0,0,0,0,0,0,1,0,8,2000,6,300,3,150,7,NA,NA,NA,NA,NA,NA,NA,12,12,2,4,7,NA,2,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,4,4,9,4,6,4,5,5,5,2,4,4,2,1,3,1,6,8,2
104,2,1,20,7,4,1,5,4,2,4,1,3,23,6,0,1,0,0,0,0,0,0,0,8,1,4,1,0,0,0,0,0,0,0,0,13,NA,13,NA,13,NA,7,NA,NA,NA,NA,NA,10,NA,14,NA,9,NA,4,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,2,10,4,4,4,2,2,4,2,3,4,2,1,3,3,12,8,2
106,1,6,68,4,3,1,8,2,2,3,2,3,23,3,0,0,0,0,0,1,0,0,0,3,2,3,0,1,0,0,0,0,0,0,0,3,900,3,180,1,90,NA,NA,1,70,1,45,NA,NA,6,6,3,5,3,2,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,4,5,5,5,5,4,1,4,2,4,5,2,3,4,4,4,5,2
107,2,6,70,7,4,5,6,4,2,4,1,3,11,3,0,1,1,0,0,0,0,0,0,2,2,4,1,0,0,0,0,0,0,0,0,13,NA,3,160,13,NA,2,1500,NA,NA,NA,NA,4,300,10,10,4,7,5,5,2,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,2,3,7,5,5,4,4,2,4,2,3,4,2,4,3,1,2,1,2
108,1,6,66,4,3,5,6,4,1,3,1,3,15,6,1,0,0,0,0,0,0,0,0,NA,2,1,0,0,0,1,0,0,0,0,0,5,1400,7,380,13,NA,7,NA,NA,NA,NA,NA,6,500,5,5,9,NA,1,NA,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,4,9,5,5,5,4,1,3,6,4,4,2,2,1,1,3,3,2
109,2,5,59,25,2,2,3,4,1,4,1,3,2,3,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,4,1000,6,300,5,260,2,1200,NA,NA,NA,NA,NA,NA,6,6,2,4,4,1,2,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,4,5,4,5,4,3,3,5,2,4,3,1,3,1,3,3,2
111,2,3,37,23,3,1,7,3,2,3,2,4,6,4,1,0,0,0,0,0,0,0,0,NA,1,2,0,0,1,0,0,0,0,0,0,6,1600,9,450,4,200,NA,NA,9,450,7,350,NA,NA,7,7,3,6,1,NA,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,4,5,5,4,5,5,1,2,2,4,4,4,2,4,3,7,5,1
112,1,6,67,6,1,6,8,4,2,5,1,3,10,6,1,0,0,0,0,0,0,0,0,NA,1,2,0,0,0,1,0,0,0,0,0,8,2200,5,280,1,90,NA,NA,6,340,1,70,1,10,7,7,3,5,4,2,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,4,9,5,4,5,4,4,3,2,4,5,2,2,2,2,9,3,2
113,1,5,63,4,3,6,5,4,2,5,1,2,22,6,0,1,0,0,0,0,0,0,0,1,2,4,1,0,0,0,0,0,0,0,0,8,2000,5,260,3,150,1,500,NA,NA,NA,NA,9,1500,7,7,4,8,1,NA,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,9,3,4,3,4,2,3,3,2,3,2,1,1,2,4,3,2
116,2,3,40,15,2,4,7,3,2,3,2,5,4,3,1,0,0,0,0,0,0,0,0,NA,2,2,0,0,0,0,0,0,0,1,0,2,500,1,62,1,17,NA,NA,2,112,1,32,NA,NA,7,7,2,3,7,NA,3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,3,5,5,4,4,2,3,3,4,3,2,1,3,3,6,1,2
117,2,6,66,5,4,5,4,4,2,3,1,3,23,4,0,1,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,1,0,13,NA,3,150,2,110,NA,NA,NA,NA,NA,NA,10,NA,12,12,4,7,7,NA,3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,5,9,4,5,4,5,2,5,5,2,2,1,1,1,1,2,2,2
118,2,6,69,6,1,5,2,2,1,1,1,1,23,2,0,1,0,1,1,1,1,0,0,4,2,2,0,0,1,0,0,0,0,0,0,13,NA,1,54,1,26,NA,NA,1,26,1,21,NA,NA,2,2,1,2,6,2,3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,5,4,1,6,1,5,1,5,4,1,5,4,1,1,4,3,1,2
120,2,6,70,6,1,6,7,3,2,4,1,1,11,4,0,1,0,0,0,1,1,0,0,5,2,2,0,0,0,0,0,0,0,1,0,10,2500,3,150,1,70,NA,NA,9,480,1,45,NA,NA,8,8,4,7,7,NA,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,3,9,4,4,4,5,2,3,3,2,4,5,1,3,3,12,8,2
122,1,6,76,7,4,5,3,4,1,5,1,2,11,4,0,1,0,0,0,1,1,0,0,4,2,1,0,0,0,0,0,0,0,1,0,8,2000,5,290,4,230,2,1500,NA,NA,NA,NA,NA,NA,9,9,2,4,1,NA,2,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,9,2,4,4,3,3,3,2,2,3,3,1,2,4,2,3,2
123,1,1,20,9,2,2,5,3,2,4,1,3,23,5,0,1,0,0,0,1,0,0,0,2,2,5,0,0,1,0,0,0,0,0,0,13,NA,13,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,9,NA,1,NA,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,4,3,4,5,4,5,1,5,1,4,4,1,1,3,2,12,5,2
126,1,2,29,6,1,1,7,2,3,4,2,6,3,2,1,0,0,0,0,0,0,0,0,NA,1,6,0,0,0,0,0,0,0,1,0,1,400,9,450,3,150,NA,NA,NA,NA,NA,NA,NA,NA,7,7,3,5,6,5,1,1,0,0,0,0,0,0,0,0,0,6,NA,6,NA,4,3,2,3,3,3,2,2,3,5,3,3,4,2,5,4,9,2,2
127,2,5,58,4,3,3,6,4,2,4,1,3,10,1,0,1,0,0,0,0,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,13,NA,13,NA,13,NA,NA,NA,7,376,1,35,6,500,6,6,1,2,1,NA,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,9,4,5,3,3,3,2,3,3,4,2,2,3,2,8,5,2
128,2,4,54,7,4,1,8,2,1,3,1,3,7,2,0,1,0,0,0,1,1,0,0,4,2,7,0,0,1,0,0,0,0,0,0,4,1200,8,400,3,195,NA,NA,NA,NA,NA,NA,NA,NA,7,7,4,8,1,NA,2,0,1,0,0,0,0,0,0,0,0,NA,1,NA,4,5,5,6,5,4,5,2,1,1,1,4,4,2,4,5,2,7,1,2
130,1,4,52,17,2,1,6,3,2,3,2,4,23,5,1,0,0,0,0,0,0,0,0,NA,2,2,0,0,0,1,0,0,0,0,0,13,NA,13,NA,13,NA,NA,NA,13,NA,13,NA,1,60,4,4,2,3,1,NA,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,3,3,5,4,5,4,2,3,5,4,5,2,1,4,1,6,5,1
131,2,6,72,4,3,6,8,4,1,3,2,1,15,5,0,1,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,6,1500,5,250,1,50,7,NA,NA,NA,NA,NA,NA,NA,8,8,4,8,7,NA,2,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,2,2,7,5,5,4,4,5,4,3,2,4,3,4,3,1,5,2,2
133,1,6,67,6,1,6,7,1,3,2,1,4,8,5,1,0,0,0,0,0,0,0,0,NA,2,2,0,0,1,0,0,0,0,0,0,2,500,4,210,2,140,NA,NA,3,190,1,65,NA,NA,5,5,2,3,1,NA,3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,1,4,4,2,4,2,4,3,2,2,2,1,NA,3,2,1,2
134,1,3,39,19,2,1,8,4,1,4,2,1,19,3,1,0,0,0,0,0,0,0,0,NA,2,1,0,0,1,0,0,0,0,0,0,3,800,5,268,1,17,1,900,NA,NA,NA,NA,NA,NA,4,4,2,3,1,NA,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,5,3,4,5,3,5,4,4,2,5,4,3,2,3,1,5,2,2
135,2,6,69,3,3,5,4,2,2,4,1,1,7,2,0,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,4,1000,5,250,3,190,7,NA,NA,NA,NA,NA,NA,NA,6,6,4,8,1,NA,2,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,5,5,9,4,5,4,4,1,4,2,4,4,1,1,3,2,2,3,2
138,1,3,39,9,2,1,8,3,2,3,2,3,6,4,0,1,0,0,1,1,1,0,0,4,2,2,0,0,0,1,0,0,0,0,0,2,500,2,120,1,35,NA,NA,13,NA,13,NA,1,50,5,5,1,1,5,7,3,0,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,5,4,7,5,5,5,4,3,3,3,3,5,4,2,2,2,8,5,1
140,2,5,64,6,1,4,7,3,2,4,1,3,8,6,0,1,1,0,0,0,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,13,NA,10,500,2,100,NA,NA,5,250,1,50,3,200,5,5,2,4,1,NA,2,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,2,2,3,5,4,4,4,2,4,2,2,4,4,2,1,3,6,6,2
141,2,6,65,21,4,2,5,2,2,2,1,1,23,6,1,0,0,0,0,0,0,0,0,NA,2,1,0,0,0,1,0,0,0,0,0,13,NA,1,90,1,70,1,500,NA,NA,NA,NA,10,NA,12,12,2,3,7,NA,3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,9,5,5,4,2,1,2,4,2,4,2,1,3,2,12,1,2
142,1,5,63,23,3,2,6,4,2,3,2,4,7,5,0,1,0,0,0,0,1,0,0,2,2,1,0,0,0,1,0,0,0,0,0,8,2000,6,340,4,220,1,900,NA,NA,NA,NA,9,1100,6,6,2,3,1,NA,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,5,7,5,4,4,2,4,3,2,4,4,2,1,1,1,4,5,1
143,1,4,47,6,1,7,5,3,2,3,2,3,22,5,0,0,0,1,0,0,0,1,0,1,1,2,0,0,1,1,1,0,0,0,0,12,4000,6,320,1,85,NA,NA,4,200,1,40,1,40,5,5,3,5,1,NA,3,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,5,5,5,5,3,5,3,2,1,3,4,4,5,2,1,2,12,5,1
144,2,3,44,9,2,1,7,3,2,4,2,3,8,3,0,1,0,1,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,1,0,6,1500,5,250,4,200,NA,NA,7,360,1,80,NA,NA,8,8,2,4,6,7,2,0,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,5,4,2,5,4,5,4,1,4,2,2,4,2,2,2,2,9,5,1
146,1,4,48,21,4,1,5,3,2,3,2,4,10,5,1,0,0,0,0,0,0,0,0,NA,2,1,0,0,0,1,0,0,0,0,0,10,2500,7,350,4,220,1,300,NA,NA,NA,NA,9,1400,8,8,2,4,5,5,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,4,9,3,4,3,3,4,4,2,2,2,2,2,2,1,7,5,1
147,2,3,35,6,1,1,8,3,2,3,2,3,8,6,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,2,700,5,290,2,100,1,250,NA,NA,NA,NA,3,250,4,4,3,6,3,7,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,2,7,5,4,4,4,2,3,2,3,5,3,2,3,4,8,2,2
152,1,5,61,6,1,2,4,2,2,3,1,1,23,3,0,1,1,1,0,1,0,0,0,4,2,2,0,0,0,0,0,0,0,1,0,13,NA,5,250,1,88,NA,NA,13,NA,13,NA,NA,NA,7,7,1,2,1,NA,3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,4,9,3,5,3,2,1,1,4,4,3,2,1,2,4,3,6,2
154,2,5,59,3,3,3,6,3,2,4,1,7,23,7,1,0,0,0,0,0,0,0,0,NA,2,1,0,0,0,0,0,0,0,1,0,13,NA,13,NA,13,NA,7,NA,NA,NA,NA,NA,NA,NA,4,4,9,NA,7,NA,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,3,9,5,5,4,4,3,2,4,3,3,2,1,2,4,12,1,2
156,1,3,38,6,1,1,7,3,2,3,2,2,7,2,0,1,0,1,1,0,0,0,0,4,2,2,0,0,0,1,0,0,0,0,0,13,NA,4,200,2,120,NA,NA,13,NA,13,NA,2,100,5,5,2,3,1,NA,2,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,4,5,4,4,5,4,4,2,3,1,4,4,2,2,3,3,8,5,1
157,1,4,47,16,4,2,7,3,2,4,2,4,6,6,1,0,0,0,0,0,0,0,0,NA,2,1,0,0,0,0,1,0,0,0,0,4,1000,7,350,2,145,2,1000,NA,NA,NA,NA,NA,NA,5,5,2,3,1,NA,2,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,4,5,9,3,5,3,3,3,3,3,4,4,3,1,3,1,12,5,1
158,2,1,21,4,3,1,4,3,2,4,2,5,7,5,0,1,0,0,0,0,0,0,0,8,2,2,0,0,1,0,0,0,0,0,0,13,NA,10,500,13,NA,NA,NA,13,NA,13,NA,NA,NA,11,11,3,5,1,NA,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,4,9,5,4,4,4,4,4,5,3,4,3,1,3,2,7,5,2
162,1,1,24,6,1,1,7,3,3,4,2,7,23,4,0,0,0,0,0,1,0,0,0,8,1,2,0,0,0,0,0,0,0,1,0,13,NA,13,NA,13,NA,NA,NA,13,NA,13,NA,NA,NA,5,5,3,5,1,NA,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,10,3,4,4,4,2,2,3,4,4,5,1,3,4,8,8,2
163,2,2,32,19,2,4,4,3,1,2,1,3,14,5,0,1,1,0,0,1,1,0,0,2,2,1,0,0,1,0,0,0,0,0,0,6,1500,6,300,4,210,2,1000,NA,NA,NA,NA,NA,NA,8,8,2,3,1,NA,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,3,9,5,5,3,4,2,4,1,1,4,4,1,2,2,1,1,2
166,1,4,54,4,3,1,5,4,1,3,1,4,8,5,1,0,0,0,0,0,0,0,0,NA,2,1,0,0,0,1,0,0,0,0,0,4,1000,4,200,2,120,1,600,NA,NA,NA,NA,3,250,6,6,3,5,7,NA,4,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,8,4,4,3,4,2,3,1,4,5,4,3,3,2,4,1,2
167,2,5,56,8,3,1,7,4,1,4,2,1,8,3,0,1,0,1,0,1,1,1,0,4,1,1,0,0,0,0,0,0,0,1,0,5,1400,6,300,5,250,2,1300,NA,NA,NA,NA,NA,NA,5,5,2,3,5,5,3,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,4,3,4,5,4,5,2,1,1,2,3,5,2,3,3,3,6,1,2
168,1,5,56,24,2,7,3,4,1,3,1,2,15,2,0,1,1,0,0,1,1,0,0,3,2,1,0,0,0,0,0,0,0,1,0,2,720,3,169,2,128,1,500,NA,NA,NA,NA,NA,NA,6,6,2,4,1,NA,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,3,9,2,5,4,3,3,2,5,1,3,5,3,1,1,2,3,2
169,2,4,49,6,1,1,4,4,1,2,1,1,12,4,0,1,1,0,0,0,0,0,0,3,2,2,0,0,1,0,0,0,0,0,0,6,1600,8,400,1,10,NA,NA,4,200,1,80,NA,NA,6,6,3,6,1,NA,3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,2,9,1,4,2,3,3,2,4,4,3,5,1,2,2,5,1,2
172,2,3,42,8,3,1,4,4,1,4,1,2,23,6,0,1,0,0,0,0,0,0,0,8,2,1,0,0,0,0,0,0,0,1,0,13,NA,5,267,3,197,7,NA,NA,NA,NA,NA,NA,NA,8,8,3,6,7,NA,4,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,9,5,5,5,3,1,3,3,2,4,3,2,3,1,5,6,2
173,2,6,76,6,1,6,5,3,2,3,1,1,23,6,0,1,0,0,0,1,1,0,0,8,2,2,0,0,0,0,0,0,0,1,0,4,1200,6,300,4,200,NA,NA,5,250,3,150,NA,NA,6,6,2,3,1,NA,3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,4,9,4,6,3,4,2,3,3,2,3,2,1,3,3,12,8,2
174,2,3,35,7,4,1,7,3,2,4,1,2,9,6,0,1,1,0,0,1,0,0,0,3,2,4,1,0,0,0,0,0,0,0,0,2,500,1,60,13,NA,7,NA,NA,NA,NA,NA,10,NA,14,NA,9,NA,4,5,2,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,3,10,4,3,3,3,4,3,3,3,3,3,3,5,1,5,6,1
176,1,2,33,13,3,1,7,1,3,2,2,4,10,3,1,0,0,0,0,0,0,0,0,NA,2,3,0,0,0,0,0,0,0,1,0,1,60,2,117,1,41,NA,NA,NA,NA,NA,NA,NA,NA,6,6,1,2,6,3,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,3,4,4,4,4,1,5,2,4,4,2,1,NA,4,7,1,2
