Epoch,Iteration,nu,p,r,beta,eta,tau,lambda,error
4,44,0.7,0.020000000000000004,0.1,1,0.051033440868847216,0.07744426812332754,0.1,1.4901820103526826
0,7,0.4201016249728855,0.006225567423354369,0.023666379329457414,0.6312284571293276,0.01717648612393532,0.019325869677704763,0.02746339941630141,1.7254132788813827
0,29,0.4738536149333231,0.00854701584337745,0.08327339365537045,0.645011441669194,0.07537610906059855,0.013089536597253754,0.030736808611545707,1.8608222218194315
36,76,0.7,0.002,0.04227141984208165,0.3,0,0,0.1,1.9128272037421457
21,61,0.2021258528410394,0.020000000000000004,0.1,0.3,0.04939333577654557,0,0.1,1.9540743797308264
0,5,0.2360241408168804,0.01867476663752459,0.03057336334802676,0.5538429013581481,0.04021090802678373,0.07677197539946065,0.08372745100525208,2.0157756803920357
0,16,0.6974046942079439,0.004814292423683219,0.018718998023658062,0.7173198709351709,0.013462789495242761,0.055249455205630515,0.054802127669099726,2.081510319764923
5,45,0.7,0.020000000000000004,0.1,0.3,0.04847456517934711,0,0.1,2.4928175997812283
32,72,0.7,0.020000000000000004,0.01,1,0.05787590341547086,0.1,-0.0447274245534523,2.5974281922963125
1,41,0.7,0.002,0.01,0.3,0.028066356965052774,0.016684314453461194,0.1,2.733178972467907
0,30,0.6010966367134823,0.014308197286585347,0.02835150821460411,0.7524551462236558,0.03524213798402343,0.03539452860422898,0.038330982059706004,2.927309994387812
23,63,0.24112879247346372,0.020000000000000004,0.09303875016209316,1,0.0437473983017465,0.1,0.1,2.9364009906362094
27,67,0.7,0.020000000000000004,0.1,0.3,0.1,0,0.05140123990541842,3.052587861159357
13,53,0.1,0.020000000000000004,0.1,0.3,0.013048662545987716,0.1,0.1,3.1332989210079547
0,26,0.4063018345984165,0.018036848721979186,0.08732420561776963,0.49400026536255603,0.07379714176524431,0.01709323184157256,0.009864595707040277,3.197471732001683
0,34,0.5550455563340801,0.006803995193948504,0.05727952041651589,0.588000715044327,0.03879329626739491,0.04167700018035248,0.05703795876353979,3.2059961912175603
0,11,0.5376526642031968,0.01687548504279694,0.03473560179723427,0.6009267719159834,0.019902228257269602,0.0923169707035413,0.0644053652882576,3.4378447734413444
0,6,0.4754915261489805,0.008120393858128228,0.011671370459080208,0.43633213292865547,0.009093742523109542,0.08905128395475914,0.09666605962440372,3.4924240776677324
0,28,0.6354337849235161,0.005650514498353005,0.08588709991693032,0.9054690969013608,0.05692068724194541,0.03457294602529146,-0.02597266581258738,3.5375121975185184
0,8,0.6715679612022358,0.01320243230398046,0.0791649884020444,0.3629099293134641,0.021049826180096716,0.02281553644919768,0.046336226734565555,3.5926846064003772
12,52,0.1,0.020000000000000004,0.1,0.3,0.07664930000068557,0.07980940411516027,0.1,3.691896396009977
