Epoch,Iteration,nu,p,r,beta,eta,tau,error
0,37,1.500634877232369,0.05805220142092439,0.054522179837455054,0.5230032434675377,0.08070584961853455,0.05129868522053585,0.42783765189058875
0,29,1.4549914821982384,0.017617009631718975,0.05849419743829641,0.44270340595510793,0.03585239783977159,0.04874441801279318,1.0950980634063532
0,35,1.5912126056966371,0.021947049563238397,0.04669618842558703,0.6874717558443081,0.046564580629346895,0.07570862776075955,1.658332608188197
30,70,1.3023767724904853,0.029085253888169838,0.036423524387355424,0.5628309082052309,0.04735941397925167,0.04313018759335305,1.9072781440794608
0,10,1.9271380435326138,0.009923960241541498,0.09576123118004762,0.8939059758023359,0.04137679050385487,0.058939036055817275,2.005069633463739
0,17,0.8682781149516814,0.03498725920753786,0.028462467234290675,0.4546382133534644,0.04435125191870612,0.04003711888624821,2.140041844076178
0,40,0.4225263564381748,0.04974135710434639,0.0493151804850204,0.6608393671945669,0.08834512675821315,0.06090300894458778,2.242211010087498
0,22,1.3892477318644523,0.028369596173398896,0.061039218365622226,0.9497173035948071,0.0856692088599084,0.08803722148295492,2.432619280669058
0,6,0.4896302729845047,0.0444161837381951,0.07163245048170211,0.4738459754502401,0.05524939392460511,0.06519572932331356,2.4434149934762686
0,31,0.7256785348872654,0.03645414773373632,0.02315783365746029,0.808131178607,0.09601588672434447,0.0343961954920087,2.5189676254613644
0,2,1.34681014851667,0.00555722714040894,0.0922900760776247,0.9322344465134665,0.06081261628074572,0.03170871227455791,2.5388628660371664
0,34,0.5207222144352273,0.05516848959983326,0.06982828000019072,0.4828814504528418,0.0828301565401489,0.022614278113469485,2.5602871448322473
0,3,0.3738944685901515,0.04886696290923282,0.09466378881625133,0.9743835829233285,0.07207945656147785,0.07111892532440833,2.7239118031996465
27,67,0,0.03708913792335868,0.1,1,0.1,0.05482043940301984,2.788681328755354
38,78,0,0.0557622991500222,0.020631487636872607,1,0.1,0.1,2.838119749207561
0,36,1.0808999105123802,0.04606347270325059,0.08058455491234781,0.6476595838088542,0.07527491617540363,0.08362195062858518,2.853206431937174
3,43,2,0.06,0.01,0.4,0.1,0.1,2.859098090189971
35,75,2,0.02583623521129013,0.09682941420447333,0.5547769873571872,0.03234638481027379,0.1,2.881398707778559
39,79,2,0.05280860374723084,0.1,0.4,0,0.1,2.9379785580548887
0,33,0.5971470659365877,0.03370097378983045,0.03613759857701371,0.851145086804172,0.09828020646702498,0.09452226922090631,2.942728644344153
34,74,1.5226509170412708,0.015026174362016951,0.06581011273966093,0.7227431199067117,0.023580914884870356,0.041917945317066,3.0197972057425133
0,24,0.999954788479954,0.02099801272972254,0.07634861888072919,0.5960791473847349,0.02779143722902518,0.09615008140099235,3.087090114587032
0,9,0.09111601802287624,0.008740015553170815,0.06509820583049442,0.5769698170188349,0.026916580463876016,0.038470611011143775,3.1779246805270622
14,54,0,0.06,0.01,0.4,0.1,0.07015511494009402,3.586892573201042
32,72,0.20843674450824468,0.02922264719635971,0.07459428965908632,0.4,0.07039873308039818,0.00548587806400974,3.609268785550298
0,39,0.61754697636934,0.02320695692547015,0.0436221193553065,0.6288444050366524,0.06721435017941986,0.085195928629837,3.632345689263656
40,80,2,0.04092922445996723,0.043042438381775364,0.4,0.1,0,3.643399432532882
0,12,0.29558331657899545,0.011598078292346325,0.0379000874083722,0.7070284995238763,0.05293234901328106,0.008505958848982118,3.6731854843645606
25,65,2,0.03370551492012951,0.1,0.4,0.1,0.0712103789888897,3.871897305587721
0,1,1.1601461453479716,0.015784937180933774,0.05618999346473721,0.6827962608600502,0.06882261157850736,0.006303581584943459,3.8834652325056513
