Epoch,Iteration,nu,p,r,beta,eta,tau,error
0,7,0.39029202852025635,0.05320510471966117,0.02505743581894785,0.41494451806880533,0.16650796153321862,0.006593614754453301,1.2754293573749123
0,24,0.40349915221985433,0.058885300511121744,0.041053710099682214,0.4466274067596533,0.11364788971170783,0.0287798318807967,1.3124783075473085
0,46,0.4639061292279512,0.052626627269200976,0.03854479763172567,0.6791938861925155,0.13436590366214515,0.030389645555578177,1.4213049138147997
0,3,0.44120036891940984,0.03265521707572043,0.02744929553642869,0.6256464460655116,0.14038149752244355,0.011933280634996483,1.4621893845949085
0,23,0.5543345346525312,0.0387653150094673,0.04570931272748858,0.5371386947203428,0.10675111641250551,0.021911622945605776,1.5601278402950012
20,70,0.8,0.06,0.05,0.4,0.19166058585156534,0.01925632473874244,1.581593856965346
0,37,0.31592097297869626,0.03667151527814567,0.03599142040014267,0.7635409230692312,0.16257956604473292,0.014972342341402548,1.6403481862188478
0,41,0.5458019785089419,0.03415913650784641,0.019686831355281174,0.4856294700666331,0.07335567056015133,0.04103884046146181,1.818005290449303
0,2,0.2938139268923551,0.04624718008507043,0.03785910620111972,0.7866823199368083,0.12344554097764193,0.023015354674202394,1.8699115758080718
0,35,0.3311599746299908,0.027999077997915445,0.017063135894574227,0.5459795541199856,0.0876140715315938,0.02481042639405001,1.9335340275674078
29,79,0.8,0.05231637066906927,0.05,0.4,0.07841119105805573,0.05,1.9599627155606336
5,55,0.8,0.02,0.05,0.4,0.06186813510039397,0.034668640408748105,1.9663789141537313
24,74,0.8,0.06,0.01,0.4,0.13106143495697736,0.05,2.097606708879253
0,29,0.25800462083052844,0.0513001684948802,0.023317304504849017,0.7459780631726608,0.18903965524360536,0.013363371847015807,2.1358219340357683
18,68,0.8,0.02,0.05,0.4,0.15112613943444714,0.014229889881519301,2.331206285508109
25,75,0.2,0.06,0.01,0.4,0.13211735311728373,0.015870186163580425,2.4595832060338028
8,58,0.2,0.06,0.05,0.4,0.13532722650356419,0.001,2.565337104098191
0,38,0.5693577542537824,0.04279638967309147,0.03932469157241285,0.7122676093317568,0.2144336249385029,0.017093964497130364,2.5786422565366083
6,56,0.8,0.06,0.01,0.4,0.25,0.009576333287693813,2.619460141131145
15,65,0.8,0.02,0.01,0.4,0.0854179285971554,0.001,2.6920917573917063
