Epoch,Iteration,nu,p,r,beta,eta,tau,error
0,27,0.777100105,0.053018094,0.03812881,0.536806715,0.111102635,0.038782959,1.00346517
0,23,0.515773813,0.056342458,0.040072527,0.552887443,0.163434391,0.021742538,1.071390756
0,50,0.451365149,0.030323845,0.035327263,0.640884416,0.105865191,0.028111479,1.348739241
0,25,0.419962092,0.037415398,0.044239489,0.616845684,0.129204394,0.01441971,1.376794512
0,38,0.573997085,0.058255207,0.031673657,0.592340013,0.140579365,0.032806775,1.430976609
15,65,0.2,0.06,0.025,0.5,0.151159268,0.001,1.482181568
3,53,0.8,0.02,0.045,0.5,0.06759877,0.04,1.912124406
19,69,0.2,0.06,0.025,0.9,0.169160156,0.023418307,1.928570816
0,14,0.409804858,0.021113037,0.038599129,0.523444057,0.100610712,0.011996005,2.044764537
0,1,0.361469357,0.02935234,0.028824381,0.762081584,0.117443182,0.011716118,2.223618814
14,64,0.2,0.06,0.045,0.9,0.172505112,0.001,2.244048411
0,39,0.632028689,0.021850736,0.042333963,0.77845706,0.135240094,0.03344668,2.283559158
0,31,0.336653709,0.036544423,0.026289808,0.854982432,0.150814538,0.010254669,2.470251409
18,68,0.2,0.06,0.045,0.9,0.120749735,0.034696823,2.552556125
0,4,0.331788724,0.054729787,0.038782671,0.801599504,0.20751924,0.028521418,2.553699537
0,41,0.677981563,0.023220592,0.032997075,0.686775747,0.1096288,0.009347314,2.568655638
0,33,0.400737618,0.041827826,0.039515083,0.73026931,0.21944172,0.003311735,2.568957756
0,28,0.594403854,0.039559577,0.037780733,0.713424751,0.212116543,0.018687552,2.67186344
0,26,0.254460934,0.049240485,0.027865902,0.890751827,0.2369979,0.007568275,2.678449986
0,48,0.745966137,0.03386535,0.025337178,0.70768422,0.124247167,0.017039999,2.756858541
0,15,0.265865939,0.050547924,0.040595817,0.653583235,0.227378711,0.01743371,2.813245151
10,60,0.2,0.06,0.045,0.5,0.25,0.001,2.957249104
7,57,0.8,0.02,0.045,0.5,0.25,0.001,3.025994088
0,21,0.73559931,0.03458544,0.043799703,0.792860229,0.177845645,0.010994436,3.030490385
0,8,0.689844465,0.032061366,0.037278564,0.878213917,0.155541973,0.023328117,3.081125685
5,55,0.8,0.06,0.045,0.5,0.25,0.04,3.148772104
0,5,0.310537549,0.051532441,0.043127381,0.647575722,0.172791795,0.039828739,3.256677807
0,2,0.552131542,0.037724355,0.029594691,0.768094654,0.246329262,0.015476963,3.347975069
0,6,0.560103207,0.026640259,0.030752291,0.898697937,0.190544444,0.034122823,3.350982981
0,12,0.473461471,0.043506153,0.027053451,0.583535647,0.233253346,0.035414098,3.385997649
13,63,0.2,0.02,0.045,0.9,0.25,0.001,3.389348524
6,56,0.2,0.06,0.025,0.9,0.25,0.04,3.408543094
16,66,0.2,0.02,0.045,0.9,0.18433106,0.016270424,3.429449906
