Epoch,Iteration,nu,p,beta,eta,tau,error
43,93,0.49618799765493105,0.04271502060538183,0.5,0.1045735550283358,0.01936448546949576,1.3910347070389486
32,82,1,0.06,0.5,0.09153087183804771,0.035879733611183254,1.4252185570134812
0,15,0.44211507072672246,0.05399569670476951,0.7429228142392822,0.12328552818694152,0.03951639542542398,1.7832177507163396
0,49,0.7653774404292926,0.048172427028864616,0.8323496309993789,0.08501081223331858,0.06826009433052968,1.8791919467627554
0,18,0.3655097282957286,0.03086989767312072,0.696313973814249,0.1718428844040027,2.1885929396376013e-5,1.908270220353036
0,37,0.5617669139103963,0.025810274903075768,0.624105069420766,0.09703059154492803,0.046275451723951845,1.9297000063534635
0,14,0.7447049034619704,0.02968253389094025,0.546951601782348,0.19210153890447693,0.0046434933061245826,2.0463730022687052
40,90,1,0.06,0.5,0.16767429354975702,0.03383856379097056,2.1331267341179316
0,6,0.8949313173489645,0.0404833971390035,0.6002020260761491,0.1021740095653804,0.06740070662309881,2.2714422689707985
0,33,0.6966097341664136,0.012506844204487277,0.7743392388382926,0.1207085010042647,0.028705890832934528,2.500417467464385
17,67,1,0.06,0.5,0.225,0.029043973292973566,2.6030407615164792
0,40,0.6586073329346255,0.024404147143941374,0.9740940476348623,0.12712262695119717,0.06409804849815555,2.6546563199530695
0,46,0.851223657540977,0.02766944716002792,0.7539916145335883,0.13391259583015927,0.05585871382872574,2.8257889722073797
30,80,0,0.024188152299537496,0.6711958997314887,0.11795263532845959,0.011246169805064888,2.853764880115928
0,34,0.34189696273766457,0.010775761847607791,0.8075370916165412,0.03772401454369538,0.05964926835545338,2.9427516541819005
0,2,0.8297277968330309,0.021019173079170284,0.7988194820890203,0.13840722736890892,0.05221529558545444,3.0130381066452228
23,73,0.4635191054558773,0.002,1,0,0.04462238352904383,3.045485892501485
0,47,0.9327459142403677,0.04975362376425415,0.7125615560426377,0.16162638074916322,0.07271489682490936,3.0744085665739216
27,77,0,0.06,1,0.12845988821512405,0.075,3.0747092606953905
24,74,0,0.06,0.5,0.17551643548924184,0.01023135188671425,3.085884882376046
39,89,0,0.06,0.5,0.055031076961726516,0.075,3.1105143224878464
0,31,0.7165743366396055,0.04677598430420272,0.732873261871282,0.19883516441239046,0.04753986567340326,3.1696374242869845
0,12,0.22657005407381803,0.054383473100885746,0.9399339585890993,0.10660340395651292,0.03763829463778529,3.1884548302964713
31,81,0.5187654194867963,0.002,0.7681865694467174,0.08389741640402026,0,3.2582910175036424
0,35,0.2433500650152564,0.012201621772646904,0.7037105260207318,0.08708421455242206,0.035988490608637215,3.3905899033810165
46,96,1,0.01569596607968011,0.5,0.05939453286601725,0.075,3.428495150666285
0,23,0.8117018590029329,0.03595698261975311,0.9633208077168092,0.21605307759088463,0.07157663192774634,3.5409617843306145
41,91,0,0.06,0.5,0.10584555199910435,0.05717858860534826,3.5455123719197608
0,44,0.9883899620361626,0.02237841184875928,0.9108892744570039,0.18214650559681467,0.05069899839651771,3.601881732832722
0,28,0.29206862011924384,0.034388763863323256,0.6574414898874238,0.09064158435654827,0.07024616820621303,3.6567649739867685
0,1,0.12035251663532108,0.017901276495242487,0.9597960209962912,0.11345566742587836,0.037049775527324524,3.7727852498777685
0,43,0.9461389561742544,0.04241679322525859,0.5228801836026833,0.1851990945105208,0.060091290101758205,3.834879427585534
11,61,0,0.002,0.5,0,0.034926406042023586,3.854277166912741
0,26,0.526970800543204,0.0024700005527306347,0.8700456599821337,0.1436729369563982,0.009549315002281218,3.8952263597329106
0,11,0.5005265690293164,0.006451480383723974,0.5695336921955458,0.16664486549701543,0.00871471673506312,4.0292165369343955
0,16,0.40849187232088296,0.052698189930235964,0.6130593829369173,0.1642940992587246,0.06255787692626472,4.058288308640219
3,53,0,0.06,1,0.225,0.05754684545062804,4.136110955491436
49,99,1,0.06,1,0.14754216464883815,0.05389959396416262,4.217926723347866
42,92,0.6656188447627986,0.002,0.5,0,0.0512783905794074,4.248088925657798
18,68,0,0.031062125770304073,0.5,0.225,0,4.294410080796428
0,19,0.05404038632288575,0.031826151111638175,0.6357462004874833,0.14696980184095446,0.031924607847933655,4.302931298444202
0,5,0.27179096521344037,0.01548093282699585,0.5503879871102981,0.1568859283248894,0.022928177195484747,4.3210233060262
19,69,0.5886563345759046,0.002,0.5,0.08503281097553074,0.011439907999733104,4.326215153937918
0,13,0.03349444561637938,0.01652470642368309,0.5141263572010212,0.07488862656627317,0.05278002181858755,4.349635074270716
16,66,0,0.02462231191124216,0.5,0.0974827735047893,0,4.422198905521916
0,8,0.48357453010044993,0.007472274328591302,0.9236147858714685,0.20986910140269902,0.03427746435580775,4.430682249332642
22,72,0,0.002,1,0,0.06885566058511133,4.452757473635143
0,3,0.14422078024595975,0.04341649899683893,0.641413485116791,0.20579941057018003,0.027222144001862035,4.500561021333722
2,52,1,0.002,0.5,0.04508829887320113,0.033937623621769934,4.527562200368579
28,78,0,0.002,0.5924112863951788,0.01889502626568114,0.04511165760105826,4.5581905803905745
50,100,1,0.002,1,0.225,0.019894054425274043,4.563871789638078
9,59,1,0.002,1,0.08672529123999057,0.05890541823265651,4.713736840085065
12,62,0,0.06,0.5,0.225,0.039285698847598395,4.82577767047448
0,24,0.18765259506646545,0.008937305768150836,0.7860696477862075,0.1942080110680545,0.014497711542877368,4.853393228935068
7,57,0,0.002,1,0.06473787191984287,0.029837360454758186,4.911199262110809
0,27,0.6142706829076633,0.04853540536249056,0.6718584820465184,0.21420296971080827,0.0017827618760056793,4.949251059026071
14,64,1,0.002,1,0.225,0.04886042189800098,5.02502185353746
25,75,1,0.002,0.7738198513999743,0.225,0,5.03043945158216
6,56,1,0.002,0.5,0.225,0.020265774054544668,5.08756587382478
0,10,0.7957003127690405,0.004684971099160612,0.723134937514551,0.1784880593359703,0.05437583321949933,5.101326897696219
36,86,1,0.002,0.5,0,0.075,5.1151060125342145
13,63,1,0.002,1,0.11507831395495431,0.075,5.184944925811452
47,97,0.6745329602631605,0.002,0.5,0.04672689526647037,0.054309029451161006,5.227478103421077
0,9,0.33996379585936665,0.04408061337285675,0.86690332388971,0.0523240054937778,0.05790808975032996,5.279169454231136
8,58,0,0.002,1,0.1169618279203058,0,5.285919882960513
0,17,0.46387003452517095,0.03561777360768057,0.8803040173230693,0.2221796268846374,0.0035794264526339244,5.320804364568206
1,51,0,0.002,1,0.10254262984107107,0.0178921323374252,5.378717533170547
0,22,0.07584908407647163,0.014562164229089394,0.8575580793037079,0.1485026487055002,0.04055364133114926,5.421746745536932
0,21,0.31405059734359386,0.003483842587349936,0.5914988172310405,0.03484191477682907,0.06588307404506485,5.468264843637432
