Epoch,Iteration,nu,p,r,beta,eta,tau,error
19,59,0.8,0.03,0.04,0.5,0.1387286161959599,0.005,0.7146575179978909
2,42,0.8,0.03,0.03532467463079325,0.5,0.08948351016535344,0.02,0.7236086640341038
0,19,0.5784283916768619,0.0440398152427515,0.035817861865187296,0.5378920451179147,0.13237068546470257,0.0188602452633786,0.7453367458853969
0,31,0.4721972307807301,0.03811545366147766,0.033865279858961005,0.5649751135148108,0.12643306685669814,0.007362918401398929,0.8597906082273208
0,22,0.5143998979113531,0.039421585621079426,0.03274139585933881,0.6837672408134676,0.11953748517495116,0.014395036409638122,1.068128301193373
0,1,0.35423711237148386,0.04132522784132743,0.038625827419455167,0.5196867394982837,0.11586691442847952,0.00858321126922965,1.0797579504927073
0,21,0.6058064727135934,0.053317554489767646,0.039736047681188214,0.597122413998004,0.16959873047599106,0.009736512923234842,1.1901296939911068
0,8,0.39334082851302815,0.05413842559995828,0.025694627867400413,0.5884992659045384,0.15313175402494383,0.01663638428901322,1.266134010267111
13,53,0.2,0.06,0.037233138923790834,0.5,0.1440474026966655,0.005,1.3708682275781288
0,17,0.4690005911060144,0.05558781491057016,0.032131201671494636,0.5044463500077836,0.17918046628736195,0.01569712578380131,1.5953554992067267
9,49,0.2,0.03,0.04,0.9,0.1393149849802488,0.005,1.7347251169793374
11,51,0.2,0.06,0.04,0.6097110730220374,0.14812481214581913,0.02,1.7844899178922484
0,26,0.6963521034363658,0.049035579013929236,0.03442990942884353,0.5536458346107974,0.19132906765415103,0.014052488210814774,1.8549148281299566
0,30,0.32781726425513624,0.04538676201493945,0.036416739582520674,0.7843927540956066,0.1641246868914459,0.009967675907129887,1.8599395239850158
12,52,0.8,0.06,0.025,0.5,0.10186600005361703,0.02,1.9177298478030191
0,13,0.28482792879454794,0.0359356081103906,0.029351154404022965,0.7129212766536511,0.14814485117851295,0.01800550719880266,2.03941413212258
17,57,0.8,0.03,0.025,0.5,0.07626910254377095,0.02,2.066373185682888
20,60,0.5017510035172151,0.06,0.04,0.5,0.2,0.02,2.117633939752102
5,45,0.2,0.06,0.04,0.9,0.2,0.02,2.1700452236136303
10,50,0.8,0.03,0.04,0.5,0.2,0.005,2.2154498722785556
0,20,0.3994412081653719,0.03456815094914054,0.03712210386688821,0.6403025996289216,0.1772537129369448,0.011806480918690795,2.2340643435968612
0,7,0.6893303714052309,0.047650892639241646,0.03291074388925336,0.7047100097849034,0.1719879507282167,0.019876851783163146,2.2422123121546487
0,15,0.3679555266862735,0.05708395015174755,0.03941309082551743,0.6981969312205911,0.13541164844209563,0.007937195021280785,2.2574013728589195
