Epoch,Iteration,nu,p,beta,eta,tau,error
0,10,0.594322503,0.048274562,0.400775076,0.121199281,0.012961873,0.313836178
38,68,0.74149739,0.049406282,0.539916486,0.133145259,0.010711299,1.1841285
0,29,0.458755591,0.023873303,0.724965978,0.108536294,0.02969448,1.564276247
40,70,0.618723723,0.033671409,0.570121468,0.047501343,0.063336069,1.599199756
39,69,0.869999643,0.036970951,0.761888144,0.072780586,0.05868789,1.854713682
51,81,0.438122449,0.038069721,0.579988274,0.107503153,0.008967093,1.859241926
0,16,0.755811898,0.009040767,0.651364499,0.020657116,0.054751986,1.880784739
37,67,0.406925311,0.03674069,0.783498068,0.122324326,0.014267088,1.929992255
0,23,0.881474038,0.016496844,0.835502069,0.086253006,0.033153553,1.941773615
15,45,0.240757098,0.033726427,0.912507944,0.145662692,0.02410014,2.058852869
0,4,0.24740436,0.059813937,0.588508791,0.214114921,0.004018501,2.062198225
20,50,0.464222292,0.025711991,0.887129295,0.093432956,0.025186304,2.129788212
55,85,0.794864381,0.007789742,0.792372128,0.033595084,0.062437673,2.326903378
19,49,0.57802162,0.05227322,0.740958316,0.151723802,0.048451812,2.333355225
0,22,0.426539389,0.025728275,0.51062977,0.059270322,0.05697626,2.452186917
32,62,1,0.034716598,0.4,0,0.075,2.521026464
57,87,1,0.026781592,0.4,0.225,0,2.527901731
18,48,0.191750606,0.027659715,0.867110383,0.078468215,0.037142432,2.550060974
56,86,0.211891137,0.046400449,0.606983235,0.075974363,0.046589672,2.585603762
46,76,1,0.022614116,0.4,0.225,0,2.726395561
0,5,0.311250907,0.038569745,0.745089479,0.103906084,0.059614118,2.730829736
0,21,0.391987552,0.050940458,0.929561267,0.163307519,0.063189173,2.741165925
41,71,0.151784986,0.042981264,0.627452856,0.115645695,0.027379319,2.793832168
0,6,0.3446834,0.012891785,0.559213026,0.033516164,0.022708038,2.841765187
27,57,0.541646501,0.032547354,0.878949895,0.144220005,0.053615733,2.859268206
0,18,0.719247657,0.046749169,0.905048063,0.115835344,0.03781282,2.893534083
17,47,0.503099253,0.037009082,0.858644747,0.175667547,0.015668523,2.938351364
54,84,0,0.015841427,0.4,0,0.075,3.046803732
14,44,0,0.010730115,0.4,0,0.075,3.14449964
0,3,0.536131635,0.036158368,0.637310777,0.185514736,0.041032104,3.247294797
28,58,0.804536594,0.030281168,0.889210782,0.136905401,0.025482619,3.288686579
0,2,0.509561215,0.018542575,0.718306581,0.092116862,0.066754442,3.324798446
0,8,0.844201652,0.052312103,0.844514492,0.218889521,0.061613883,3.43440934
58,88,0.62745506,0.016053208,0.678189934,0.117818594,0.05498418,3.482721764
24,54,1,0.004053274,0.4,0,0.075,3.51922408
0,12,0.185996124,0.056977251,0.618727473,0.131466649,0.043119699,3.549186355
13,43,1,0.005134134,0.4,0.225,0,3.734509175
0,30,0.295353892,0.012185161,0.875258168,0.192382263,0.017688401,3.844291039
34,64,0,0.053624346,0.4,0.225,0,3.889975773
35,65,0,0.04983463,0.4,0.225,0,3.965592535
52,82,1,0.003548632,0.4,0.225,0,3.980376058
0,27,0.670486386,0.019789874,0.567730207,0.1527285,0.05152859,4.117046173
0,28,0.155345203,0.030023669,0.897485718,0.143547227,0.046360923,4.259043447
59,89,0,0.020713637,1,0.225,0,4.288433928
60,90,0,0.048571798,1,0.225,0.075,4.442133766
36,66,1,0.055806332,1,0.225,0.075,4.495075684
47,77,1,0.005975364,1,0.225,0.075,4.707372676
0,24,0.934041692,0.032000851,0.426896038,0.141940469,0.074199094,4.719644172
0,9,0.057547292,0.026572041,0.992976396,0.075054725,0.027027048,4.950432405
33,63,1,0.039952899,0.4,0.225,0.075,5.010865106
16,46,0,0.022300712,1,0.225,0.075,5.069893388
0,26,0.10643659,0.038138809,0.668151514,0.206110666,0.032163883,5.123969441
45,75,0,0.017304929,0.4,0.225,0,5.245998295
12,42,0,0.014673881,1,0.225,0.075,5.506723665
31,61,0,0.008108592,0.4,0.225,0,5.647402789
9,39,1,0.028215214,0.4,0.225,0.075,5.66037923
49,79,0,0.058572715,0.4,0,0.075,5.71261186
0,17,0.094455297,0.006662957,0.490535602,0.043633894,0.069515827,5.764404782
21,51,0,0.04237492,0.4,0.225,0.075,5.882086454
3,33,0,0.06,0.4,0.225,0.075,5.966783187
50,80,1,0.013674242,0.4,0.225,0.075,5.968223476
23,53,0,0.045396036,0.4,0.225,0.075,5.979139188
0,11,0.00855875,0.003617988,0.78185317,0.17447633,0.048299537,6.085716577
0,1,0.793452251,0.02106753,0.440797528,0.027940187,0.022242194,6.532313363
0,7,0.663188725,0.033676283,0.955396902,0.170628678,0.015604321,6.591683923
0,25,0.830620268,0.002821469,0.477633667,0.200942568,0.071680392,6.915125943
5,35,1,0.06,0.63553307,0,0.068441152,9.352570311
0,14,0.983847801,0.007224595,0.760078661,0.004881149,0.012428518,12.18394364
53,83,1,0.041933296,1,0,0.075,14.23921286
43,73,0.184115659,0.0340807,0.518230022,0.048136926,0.014251774,14.27818381
26,56,1,0.049410503,1,0,0.075,16.97510938
22,52,1,0.053914124,1,0,0.075,18.36658691
30,60,1,0.010271426,1,0.225,0,19.38127188
0,19,0.216431375,0.055156884,0.52369262,0.068176735,0.002063547,23.0647499
0,15,0.932094512,0.043734254,0.812327537,0.014797196,0.035331824,30.87265264
0,20,0.490198583,0.04096562,0.68536068,0.05043739,0.005858433,39.18304114
6,36,1,0.06,0.4,0,0.031397953,45.84425205
0,13,0.611992769,0.044272248,0.96568535,0.06020584,0.008151165,61.47055231
29,59,1,0.014902191,0.4,0,0,85.13076171
42,72,0,0.031279013,0.4,0,0,110.1004988
10,40,0.003787974,0.018534367,0.693220658,0,0,133.9750952
44,74,1,0.029094374,0.4,0,0,260.8767461
2,32,0,0.06,0.68697423,0,0.013164133,320.5059001
48,78,1,0.045667983,0.4,0,0,515.5768033
25,55,1,0.058292921,1,0,0,4110.653567
1,31,1,0.001,0.4,0.157142338,0,1000000
4,34,0,0.001,1,0.225,0.075,1000000
7,37,1,0.001,0.4,0,0.065684711,1000000
8,38,1,0.001,0.563012811,0.225,0.075,1000000
11,41,0.678521595,0.001,0.410023839,0.225,0.075,1000000
